Rate,Month_Year,CPI,FEDFUNDS,JPY,EUR,GBP,AUD
2.42,2019-04,255.548,2.42,111.91440809,0.879625,0.756945,1.412429
2.39,2019-05,256.092,2.39,111.4514,0.892455,0.76524,1.406424
2.38,2019-06,256.143,2.38,111.453,0.892663,0.766094,1.42573
2.4,2019-07,256.571,2.4,108.275,0.89338,0.7912,1.4405
2.13,2019-08,256.558,2.13,108.3772963,0.885936,0.790855,1.43574
2.04,2019-09,256.759,2.04,107.4445,0.902602,0.824825,1.470168
1.83,2019-10,257.346,1.83,106.13675,0.909878,0.822466,1.486799
1.55,2019-11,257.208,1.55,107.75116353,0.914453,0.813554,1.490807
1.55,2019-12,256.974,1.55,108.20502495,0.895396,0.7727,1.4474
1.55,2020-01,257.971,1.55,109.5345,0.907568,0.774451,1.47812
1.58,2020-02,258.678,1.58,108.72525,0.891348,0.754603,1.424502
0.65,2020-03,258.115,0.65,108.39497603,0.901364,0.757312,1.493875
0.05,2020-04,256.389,0.05,107.431,0.904912,0.782441,1.545679
0.05,2020-05,256.394,0.05,107.29594444,0.913105,0.807676,1.641998
0.08,2020-06,257.797,0.08,106.93,0.901429,0.799872,1.5576
0.09,2020-07,259.101,0.09,107.561,0.89884,0.800865,1.474066
0.1,2020-08,259.918,0.1,107.375,0.888778,0.80215,1.446927
0.09,2020-09,260.28,0.09,105.839,0.848983,0.764213,1.400796
0.09,2020-10,260.388,0.09,105.89799695,0.838739,0.746275,1.355547
0.09,2020-11,260.229,0.09,105.5515,0.851495,0.776096,1.3924
0.09,2020-12,260.474,0.09,104.565,0.858974,0.773636,1.426991
0.09,2021-01,261.582,0.09,104.301,0.828445,0.745054,1.354903
0.08,2021-02,263.014,0.08,103.23998054,0.822681,0.73135,1.29985
0.07,2021-03,264.877,0.07,104.885,0.828645,0.731215,1.310045
0.07,2021-04,267.054,0.07,106.848,0.829965,0.717932,1.28635
0.06,2021-05,269.195,0.06,110.615,0.849,0.72285,1.312853
0.08,2021-06,271.696,0.08,109.3005,0.83195,0.723743,1.29584
0.1,2021-07,273.003,0.1,109.49724812,0.818498,0.706415,1.289332
0.09,2021-08,273.567,0.09,111.57275,0.844181,0.726795,1.339486
0.08,2021-09,274.31,0.08,109.711,0.842723,0.719632,1.362061
0.08,2021-10,276.589,0.08,110.0965,0.844488,0.726151,1.357589
0.08,2021-11,277.948,0.08,111.0765,0.862519,0.738253,1.376822
0.08,2021-12,278.802,0.08,114.093,0.862101,0.732349,1.329571
0.08,2022-01,281.148,0.08,112.888,0.883466,0.753195,1.406982
0.08,2022-02,283.716,0.08,115.108,0.879202,0.739016,1.376558
0.2,2022-03,287.504,0.2,114.7365,0.88705,0.739372,1.401712
0.33,2022-04,289.109,0.33,114.8415,0.898295,0.749913,1.37724
0.77,2022-05,292.296,0.77,122.507,0.9051,0.76255,1.333333
1.21,2022-06,296.311,1.21,130.0045,0.949196,0.795608,1.415874
1.68,2022-07,296.276,1.68,130.12571501,0.938853,0.801026,1.394402
2.33,2022-08,296.171,2.33,135.225,0.958856,0.826806,1.467159
2.56,2022-09,296.808,2.56,131.412,0.974432,0.815866,1.423765
3.08,2022-10,298.012,3.08,140.0825,1.004843,0.86601,1.471611
3.78,2022-11,297.711,3.78,144.739,1.020055,0.896861,1.562744
4.1,2022-12,296.797,4.1,147.91753333,1.012429,0.870417,1.563537
4.33,2023-01,299.17,4.33,135.150375,0.949893,0.815757,1.468267
4.57,2023-02,300.84,4.57,130.926,0.934096,0.826651,1.466361
4.65,2023-03,301.836,4.65,128.60680807,0.908038,0.807255,1.399084
4.83,2023-04,303.363,4.83,136.202625,0.937342,0.831469,1.479349
5.06,2023-05,304.127,5.06,132.77505866,0.920175,0.810045,1.495215
5.08,2023-06,305.109,5.08,137.519,0.911535,0.80099,1.509939
5.12,2023-07,305.691,5.12,138.74483333,0.92931,0.798321,1.520408
5.33,2023-08,307.026,5.33,144.33492787,0.91605,0.786999,1.50085
5.33,2023-09,307.789,5.33,142.963,0.908455,0.78154,1.511123
5.33,2023-10,307.671,5.33,146.20406742,0.926999,0.794344,1.547509
5.33,2023-11,307.051,5.33,149.5325,0.946601,0.820142,1.553461
5.33,2023-12,306.746,5.33,150.57708333,0.944618,0.820936,1.557151
5.33,2024-01,308.417,5.33,146.81497316,0.918056,0.787464,1.499933
5.33,2024-02,310.326,5.33,141.115,0.906074,0.78569,1.468645
5.33,2024-03,312.332,5.33,146.465,0.919593,0.784543,1.52104
5.33,2024-04,313.548,5.33,150.09493521,0.92205,0.790077,1.53025
5.33,2024-05,314.069,5.33,151.596,0.9314,0.797064,1.541352
5.33,2024-06,314.175,5.33,155.2714,0.933021,0.797744,1.531359
5.33,2024-07,314.54,5.33,157.25001195,0.921107,0.785114,1.501051
5.33,2024-08,314.796,5.33,161.513,0.931385,0.790823,1.50281
5.13,2024-09,315.301,5.13,149.21125,0.927085,0.785689,1.53991
